ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,MaxShareRate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
St Vincents Accountable Care Organization LLC,A2205,2019,"FL, GA",-1.05,,3279,3018,70,175,33,182,470,596,320,304,2,8,732,224,11301,3588,5914,0,0.49,44,98.88,85.62,93.85,94.07,83.02,67.81,69.26,74.18,28.06,91.96,87.77,15.05,56.92,1.95,96.77,76.47,85.71,69.23,73.39,77.42,86.27,15.79,12.9,71.37,13399,,1635,81,429,81,1635,11054
St Vincents Accountable Care Organization LLC,A2205,2020,"FL, GA",6.21,,2929,2736,40,145,36,184,385,533,283,271,1,7,606,208,10602,3438,5399,9497172,0.4,40,98.75,^,^,^,^,^,^,^,^,^,^,~,~,0.92,97.18,76.71,82.61,70.56,78.63,75.44,91.3,9.91,9.71,70.56,13580,152,226,94,485,94,226,11018
"CHA ACO, LLC",A2207,2020,"IN, MI",5.91,,2289,2120,31,119,39,221,518,218,228,218,1,6,456,164,7258,2989,3087,6440703,0.73,38,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.92,72.53,60.46,55.38,65.23,56.67,72.09,79.16,10.17,16.64,66.72,12317,316,60,75,332,75,60,11409
"CHA ACO, LLC",A2207,2021,"IN, MI",3.14,75.00%,"2,480","2,260",28,191,33,199,507,255,239,226,1,9,526,178,"8,153","3,268","3,416","3,575,935",75.00%,37,87.14,,,,,,,,,,,,,,,76.2,69.81,76.77,55.22,73.13,85.81,13.56,11.71,70.33,"12,191",297,70,75,357,75,70,"11,252"
"CHA ACO, LLC",A2207,2019,"IN, MI",3.54,,2668,2521,32,75,58,393,784,280,266,256,1,4,603,198,8248,3291,3427,4915166,0.69,66,92.17,87.55,94.3,92.69,84,57.04,61.2,76.38,26.06,94.98,84.6,14.64,56.61,2.09,69.57,66.44,70.31,62.58,61.74,69.08,76.87,12.96,15.75,69.72,14135,,650,78,336,78,650,13008
"CHA ACO, LLC",A2207,2018,"IN, MI",1.4186601,,2797,2597,59,107,71,385,869,305,279,265,2,5,628,201,8297,3446,3511,0,0.6748,75,89.97,88.58,93.97,93.25,84.86,57.92,60.02,75.27,24.5,,,14.1,57.62,2.08,71.37,60.7,70.97,59.71,62.3,67.3,83.61,6.19,13.9,66.67,13990,144,66,85,282,85,66,12816
Antelope Valley ACO,A2210,2019,"CA, CT",7.37,,5011,4330,45,694,36,404,1052,824,341,316,1,21,755,229,12897,5890,6401,7167303,0.46,52,92.17,85.78,92.88,91.94,84.69,55.37,54.45,70.82,24.81,92.19,83.18,15.9,59.61,2.04,66.5,60.74,67.14,53.36,54.47,58.31,73.98,12.5,20.57,69.22,6339,,629,266,222,266,629,5037
Antelope Valley ACO,A2210,2018,CA,4.371995,,4555,4070,93,443,21,431,989,782,335,314,2,16,742,223,12753,5644,6610,3862307,0.4634,50,92.67999999999999,87.96,92.44,91.78,84.69,55.17,58.73,71.04,27.91,,,14.76,51.68,1.99,63.45,57.23,78.33,52.06,54.07,56.97,76.72,4.76,20.56,71.14,6153,20,157,243,224,243,157,4885
"Rocky Mountain Accountable Health Network, Inc",A2217,2020,"MT, WY",3.34,,2821,2527,121,184,9,208,318,147,235,221,4,10,524,163,7793,3251,2511,2798884,0.39,23,97.5,^,^,^,^,^,^,^,^,^,^,~,~,0.75,99.19,77.43,82.61,86.94,83.47,79.03,74.35,31.84,11.29,65.32,8900,68,21,37,259,37,21,8409
"Rocky Mountain Accountable Health Network, Inc",A2217,2019,"MT, WY",2.04,,3260,3024,161,107,8,267,499,139,272,262,4,6,631,180,8520,3470,2754,0,0.48,40,95.69,88.29,95.13,93.89,79.76,59.45,68.82,78.03,20.1,94.82,89.71,14.49,54.93,1.72,99.19,72.27,85.71,75.4,78.63,86.29,76.75,41.21,8.06,72.18,9259,,23,39,248,39,23,8746
"Rocky Mountain Accountable Health Network, Inc",A2217,2021,"MT, WY",2.86,40.00%,"2,791","2,475",76,268,4,189,399,153,232,214,3,14,558,164,"8,192","3,272","2,678",0,40.00%,30,99.98,,,,,,,,,,,,,,,77.18,100,80,85.48,85.08,78.9,40.16,7.66,71.08,"8,782",89,26,28,264,28,26,"8,326"
"Rocky Mountain Accountable Health Network, Inc",A2217,2018,"MT, WY",-2.1209480999999997,,3450,3164,168,144,15,247,561,152,291,278,4,8,688,190,8434,3341,2955,0,0.4459,48,89.19,88.27,95.0,92.99,80.11,62.37,73.18,75.43,24.93,,,14.53,65.15,1.74,100,68.91,78.26,87.45,79.44,81.05,78.17,27.91,6.45,65.73,9306,100,19,37,229,37,19,8793
"Health Point ACO, LLC",A2227,2020,FL,9.45,,2380,1993,51,322,19,109,319,496,220,201,1,16,401,156,13238,6362,5764,8396920,0.73,28,97.81,^,^,^,^,^,^,^,^,^,^,~,~,0.86,94.79,87.33,94.59,62.4,78.47,77.61,86.58,23.53,9.9,80.78,8176,31,42,30,255,30,42,7696
"Health Point ACO, LLC",A2227,2018,FL,8.6606631,,3293,2862,60,356,43,219,853,756,321,296,1,18,603,225,12578,4992,6293,6977265,0.4773,70,95.46,82.7,91.19,90.03,83.05,62.39,64.49,74.41,28.76,,,15.38,59.43,1.73,92.62,84.6,95.56,54.55,73.45,84.12,83.64,16.33,10.36,81.37,6255,20,42,42,151,42,42,5873
"Health Point ACO, LLC",A2227,2019,FL,10.54,,3269,2826,62,366,44,203,873,765,318,292,2,20,584,224,14518,6434,6263,8464366,0.49,73,97.88,84.75,92.44,90.65,80.5,62.07,63.4,76.89,25.9,90.54,84.9,15.0,52.1,1.59,95.75,87.1,100,72.26,80.59,83.52,85.93,26.76,8.13,80.84,5890,,130,23,156,23,130,5542
PMC ACO,A2246,2020,MI,5.390000000000001,,3434,3055,117,257,89,333,701,419,325,301,3,12,656,264,10938,5837,3686,3368652,0.48,66,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.87,82.34,59.8,85.94,79.41,65.52,65.23,77.78,7.06,19.16,77.85,5539,48,23,18,116,18,23,4154
PMC ACO,A2246,2021,MI,4.47,50.00%,"3,486","3,089",135,271,68,322,597,459,324,299,3,14,668,262,"12,029","6,280","4,079","3,100,972",50.00%,60,84.24,,,,,,,,,,,,,,,72.28,71.88,79.97,62.52,64.86,81.27,18.18,19.1,83.06,"5,899",52,22,18,157,18,22,"4,638"
PMC ACO,A2246,2019,MI,5.13,,4233,3811,137,253,91,304,775,556,381,357,3,12,830,292,11462,5509,4088,3470547,0.46,72,92.17,85.54,91.58,90.71,82.08,62.63,61.93,71.35,21.31,92.26,82.62,15.23,58.84,1.66,84.23,67.72,85.53,75.72,62.66,66.54,72.44,11.76,15.01,78.79,5269,,1300,17,102,17,1300,3820
PMC ACO,A2246,2018,MI,0.6905574999999999,,4371,4065,94,204,64,287,1052,481,408,388,2,9,823,330,11127,5538,4350,0,0.4414,93,88.28,87.83,92.81,90.5,86.12,64.36,57.61,71.55,33.45,,,15.12,65.5,2.25,87.26,71.74,68.18,75.89,71.04,78.52,79.94,5.95,18.05,72.58,5503,47,26,28,93,28,26,3814
St Joseph Health Partners ACO,A2247,2019,TX,-1.48,,3844,2914,82,839,39,370,949,857,343,291,2,45,779,233,9773,4233,4184,0,0.48,54,95.03,91.78,96.93,95.01,81.14,56.11,66.99,74.53,30.98,95.41,91.53,14.9,57.5,1.9,82.96,66.53,52.63,72.03,76.26,75.28,75.18,8.75,14.52,70.36,7947,,669,197,139,197,669,6886
St Joseph Health Partners ACO,A2247,2018,TX,-5.38805,,3956,2974,68,837,89,433,1194,804,362,308,2,44,858,249,9417,3840,4312,-4747034,0.4701,65,94.02000000000001,88.08,94.55,93.65,82.87,58.74,65.7,72.62,31.29,,,14.86,60.04,1.93,88.27,66.96,73.33,64.56,70.55,75.73,77.98,8.42,17.19,63.22,7345,83,39,192,134,192,39,6320
St Joseph Health Partners ACO,A2247,2021,TX,8.14,50.00%,"3,173","2,538",25,611,26,243,488,689,272,235,1,34,591,185,"8,998","3,499","4,223","6,743,114",50.00%,30,97.37,,,,,,,,,,,,,,,95.49,61.54,62.77,78.64,98.73,82.12,6.35,6.67,93.26,"7,202",112,52,141,147,141,52,"6,443"
St Joseph Health Partners ACO,A2247,2020,TX,4.8500000000000005,,3360,2516,48,797,25,261,714,805,282,237,2,40,574,187,8983,3765,3945,4163386,0.39,40,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.78,85.77,67.72,41.18,72.76,75.18,72.53,83.68,9.52,12.65,72.22,7626,110,51,163,149,163,51,6699
Silver State ACO LLC,A2251,2021,"NV, CA",7.19,75.00%,"2,850","2,415",68,337,65,166,332,567,227,203,2,15,561,168,"10,370","3,798","4,723","33,782,285",75.00%,25,91.02,,,,,,,,,,,,,,,78.85,86.05,80.32,74.36,75.89,86.36,27.66,10.86,86,"44,733",380,"1,449","1,099","2,139","1,099","1,449","37,910"
Silver State ACO LLC,A2251,2020,NV,8.44,,2915,2426,89,366,68,143,325,553,235,209,3,16,546,167,10057,3827,4587,44185926,0.74,25,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.06,93.1,76.49,92.59,68.16,70.28,76.34,83.27,10.71,12.34,81.69,52296,587,1885,1490,2620,1490,1885,43026
Silver State ACO LLC,A2251,2019,NV,10.26,,3492,2746,111,594,84,133,386,634,283,245,3,26,648,195,10894,4295,5037,48696194,0.48,28,96.13,76.9,91.74,89.97,77.26,58.24,63.05,72.99,25.08,88.6,83.68,15.17,52.58,1.86,92.27,72.69,80.36,65.95,71.07,70.45,83.2,4,14.14,81.91,42282,,3415,1409,2208,1409,3415,33406
Silver State ACO LLC,A2251,2018,NV,7.2079932,,3825,2900,163,735,95,143,467,709,311,263,5,33,674,211,10600,4157,5146,33952432,0.4427,32,88.55,76.7,91.15,88.19,79.78,53.25,58.1,72.69,19.63,,,15.4,53.63,1.99,92.05,71.56,92.31,51.21,60.68,70.03,84.87,11.11,17.93,82.26,41717,456,1861,1208,2240,1208,1861,32566
"Physician Health Partners, LLC",A2252,2018,CO,3.5947489999999998,,2720,2424,43,248,25,147,498,444,224,208,1,13,526,143,9049,3982,3909,9012089,0.4859,45,97.19,83.88,93.92,92.87,80.63,55.45,66.76,74.73,26.87,,,14.27,40.79,1.0,63.07,79.92,64.29,48.61,71.98,83.02,83.92,13.79,10.89,75.1,26155,203,308,288,1051,288,308,23904
"Physician Health Partners, LLC",A2252,2019,CO,6.83,,2831,2517,50,248,40,137,444,424,229,211,1,13,542,148,9242,4080,3854,14528659,0.48,40,95.44,83.91,94.31,92.29,81.46,60.67,62.72,73.9,24.62,91.17,86.6,14.39,39.06,1.04,75.76,71.65,68.42,42.09,70.28,71.07,79.81,0,11.93,81.88,20811,,501,277,942,277,501,18755
"Augusta Care Partners, LLC",A2266,2019,VA,0.35000000000000003,,2624,2448,17,89,80,301,587,393,260,247,0,4,752,183,9950,3293,4501,0,0.46,56,92.17,82.95,93.8,91.39,81.27,64.25,58.08,75.2,22.87,93.66,84.68,14.61,48.65,2.02,99.31,85.45,94.87,85.2,80.66,90.08,82.97,15.31,13.69,66.89,9399,,413,13,219,13,413,8732
"Augusta Care Partners, LLC",A2266,2021,VA,5.89,40.00%,"2,183","1,995",4,123,69,564,638,440,206,194,0,6,676,146,"9,588","2,951","4,042","4,810,809",40.00%,55,100.00,,,,,,,,,,,,,,,86.76,95,90.49,82.29,85.66,90.91,11.02,8.42,81.42,"7,989",53,18,16,225,16,18,"7,448"
"Augusta Care Partners, LLC",A2266,2018,VA,-1.7993826000000002,,2749,2574,5,119,60,219,520,346,266,254,0,5,749,188,9803,3363,4745,0,0.4813,51,96.26,83.13,92.99,90.79,80.09,65.91,59.1,73.37,23.86,,,14.72,54.62,1.92,99.37,81.75,65.71,86.36,80.36,85.05,87.72,8.89,11.99,70.02,9028,85,14,15,199,15,14,8384
"Augusta Care Partners, LLC",A2266,2020,VA,6.239999999999999,,2275,2096,34,96,62,513,665,364,211,199,1,5,603,151,8937,2902,3744,5045790,0.39,55,97.5,^,^,^,^,^,^,^,^,^,^,~,~,0.78,98.68,86.16,96.88,90.33,84.29,88.72,86.28,10.58,11.59,63.29,8581,50,17,14,205,14,17,7993
"SSM ACO, LLC",A2272,2020,"MO, IL",2.94,,3105,2548,42,528,29,287,601,406,301,269,1,27,610,219,8271,2909,3901,5847197,0.73,48,97.03,^,^,^,^,^,^,^,^,^,^,~,~,0.71,86.69,81.65,87.5,93.75,82.69,76.05,74.58,18,12.36,63.46,19141,313,106,38,423,38,106,16571
"SSM ACO, LLC",A2272,2019,"MO, IL",5.029999999999999,,3762,3126,96,538,67,295,701,455,359,320,2,28,744,238,9242,3295,4381,12155454,0.71,62,95.06,87.12,95.23,94.42,82.23,62.62,68.94,74.04,22.85,94.77,90.36,14.71,54.48,1.62,88.55,68.22,90.91,77.13,81.47,75.19,76.49,9.62,11.58,70.16,19576,,2046,33,403,33,2046,16987
"SSM ACO, LLC",A2272,2018,"MO, IL",2.316429,,3782,3241,66,447,70,275,753,466,385,350,2,25,749,246,9046,3245,4446,5419945,0.6806,70,90.75,89.05,95.39,93.42,83.94,61.74,67.08,72.9,27.18,,,15.31,60.89,1.61,87.25,72.08,81.82,78.09,74.4,79.09,64.49,13.46,11.6,71.17,19659,256,89,29,354,29,89,17047
"SSM ACO, LLC",A2272,2021,"MO, IL",0.76,75.00%,"3,222","2,615",40,541,53,327,676,398,308,275,1,26,616,228,"9,349","3,266","4,148",0,75.00%,55,93.58,,,,,,,,,,,,,,,86.82,90,95.11,80.88,79.84,80.06,14.29,10.81,74.7,"21,679",367,111,38,562,38,111,"18,956"
"Johns Hopkins Medicine Alliance for Patients, LLC",A2278,2019,"MD, DC",0.43,,5586,5511,8,57,16,156,632,427,311,306,0,3,733,238,10870,3897,5449,0,0.46,51,92.17,82.59,94.12,92.92,79.49,61.22,62,75.49,21.36,91.24,85.72,15.18,65.12,1.9,84.83,80.14,57.69,79.14,71.38,73.54,88.17,0,9.67,70.59,42177,,10316,450,2286,450,10316,27950
"Johns Hopkins Medicine Alliance for Patients, LLC",A2278,2018,"MD, DC",-0.42889649999999996,,5501,5426,2,56,23,149,554,420,316,311,0,3,767,239,10569,3838,5375,0,0.4203,47,84.06,80.08,94.39,93.13,81.59,63.02,62.94,75.29,23.94,,,15.19,64.18,1.97,86.05,70.62,79.37,80.08,70.75,69.85,89.41,2.5,11.75,70.18,40737,721,1078,432,2067,432,1078,27024
"GGC ACO, LLC",A2284,2021,MI,8.23,50.00%,"2,898","2,587",54,264,17,258,476,449,261,245,2,12,472,205,"10,381","5,013","4,616","5,372,385",50.00%,40,100.00,,,,,,,,,,,,,,,93.48,100,90.94,85.17,89.45,86.97,38.89,6.83,93.17,"5,852",33,28,22,149,22,28,"4,601"
"GGC ACO, LLC",A2284,2020,MI,8.21,,2998,2670,44,241,50,181,476,443,266,247,2,11,460,206,9610,4992,3995,5355666,0.49,39,98.75,^,^,^,^,^,^,^,^,^,^,~,~,0.69,96.79,90.67,91.67,90,86.44,87.5,86.21,21.95,10.51,87.91,6253,34,26,22,149,22,26,4924
"GGC ACO, LLC",A2284,2019,MI,3.6900000000000004,,3860,3464,108,267,56,154,779,449,332,310,2,13,590,254,10614,5246,4671,3085638,0.46,67,92.17,89.01,93.54,92.79,84.33,65.83,55.07,72.44,24.26,92.59,84.48,14.86,57.42,1.94,96.78,85.76,100,81.38,83.03,91.53,83.07,19.05,9.97,85.44,7182,,1253,23,176,23,1253,5685
"GGC ACO, LLC",A2284,2018,MI,8.6892495,,3289,2958,42,249,56,200,748,432,311,292,1,11,602,237,10359,5170,4560,6448758,0.4768,60,95.36,90.47,93.56,92.9,83.49,59.24,57.79,74.79,28.36,,,14.72,57.6,1.66,96.74,84.08,69.44,90.45,80.68,83.86,83.95,17.86,15.11,87.7,6443,35,36,13,156,13,36,4959
"Broward Guardian, LLC",A2286,2020,FL,7.470000000000001,,3257,2722,80,432,54,764,440,897,300,267,2,22,676,235,11154,3420,6504,8173730,0.73,31,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.76,74.46,52.54,75.76,74.45,59.43,67.52,87.66,38.89,16.64,70.68,8278,161,104,422,417,422,104,6358
"Broward Guardian, LLC",A2286,2019,FL,6.29,,3881,3281,151,486,62,649,631,1175,367,329,4,25,874,285,12683,3786,7522,9029032,0.69,50,92.17,88.89,95.82,94,82.98,63.1,59.83,73.38,21.14,93.47,88.79,16.06,59.25,1.64,86.27,48.5,81.82,86.1,61.15,72.98,86.11,10.64,14.73,76.01,9679,,1084,505,448,505,1084,7530
"Broward Guardian, LLC",A2286,2021,"FL, NY",9.36,75.00%,"3,290","2,691",58,517,64,723,465,839,324,286,2,27,661,258,"12,424","3,700","7,328","11,084,216",75.00%,33,87.12,,,,,,,,,,,,,,,61.66,79.41,69.57,57.65,72.61,86.68,27.5,15.81,71.28,"8,129",167,100,377,480,377,100,"6,345"
"Broward Guardian, LLC",A2286,2018,FL,3.9125064000000003,,3964,3241,144,585,64,857,672,1144,379,337,4,30,876,292,12191,3696,7382,5041927,0.6334,49,84.45,86.06,93.21,91.96,81.37,58.62,57.6,74.81,23.05,,,15.22,59.17,1.69,86.72,64.96,85.19,62.52,63.07,77.74,85.28,8.57,14.36,74.74,9071,147,93,492,428,492,93,7039
"Via Christi Health Alliance in Accountable Care, Inc.",A2287,2019,KS,-0.21,,2884,2539,98,191,86,362,592,332,287,266,3,11,724,185,8984,2994,3258,0,0.48,54,95.38,84.24,92.05,91.19,82.99,56.05,55.39,74.22,26.28,93.65,86.51,13.96,52.09,1.51,86.69,79.1,81.16,76.28,71.94,73.39,81.89,10,10.8,71.29,15781,,984,283,337,283,984,14004
"Via Christi Health Alliance in Accountable Care, Inc.",A2287,2018,KS,-5.2544178,,3179,2759,69,252,109,316,700,398,318,292,2,14,738,204,9175,3405,3357,-7673930,0.454,65,90.8,87.19,93.42,92.07,79.79,51.89,55.74,72.66,29.6,,,14.61,53.13,1.64,86.61,74.48,79.69,70.68,72.12,74.6,81.3,7.89,16.61,70.92,15438,202,78,148,302,148,78,13856
Gulf Coast Health Partners,A2299,2019,"FL, AL, MS",2.29,,2496,2246,80,162,17,228,446,602,269,255,3,9,692,193,10254,3398,5164,0,0.46,42,92.17,85.6,95.17,93.71,81.39,61.85,65.73,73.45,26.25,92.62,87.1,15.2,54.09,1.86,98.62,91.34,56.25,87.64,86.61,77.02,83.97,31,12.1,70.88,24854,,1997,66,561,66,1997,22004
Gulf Coast Health Partners,A2299,2021,"FL, AL, MS",3.14,40.00%,"2,231","1,942",69,223,12,183,313,518,228,212,2,11,629,174,"10,175","2,948","5,070","7,321,900",40.00%,29,94.01,,,,,,,,,,,,,,,82.11,94.44,88.24,73.39,77.42,88.51,22.83,8.78,70.56,"22,934",278,196,57,599,57,196,"20,522"
Gulf Coast Health Partners,A2299,2018,"FL, AL, MS",1.7522579999999999,,2331,2103,66,150,24,218,470,621,265,251,2,8,692,194,9889,3360,5024,0,0.4634,46,92.67999999999999,83.7,93.57,92.32,82.09,60.88,65.67,71.24,23.05,,,14.68,49.53,2.16,94.78,80,50,75.81,73.79,75.6,83.33,3.7,13.71,72.48,24664,219,226,56,530,56,226,21750
Gulf Coast Health Partners,A2299,2020,"FL, AL, MS",2.39,,2382,2133,70,175,14,221,329,548,234,219,3,9,581,173,9333,2940,4734,0,0.39,31,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.01,98.8,75.11,84,88.55,86.44,75.2,84.18,16.84,13.18,69.69,23982,249,205,53,598,53,205,21372
"Illinois Health Partners ACO, LLC",A2302,2018,IL,0.5534731,,2876,2593,33,227,43,139,696,507,269,253,1,11,535,185,9766,3743,4834,0,0.4754,57,95.08,86.41,95.05,93.77,82.66,62.68,66.97,75.89,25.96,,,14.73,59.31,1.93,94.24,72.02,81.25,86.58,71.34,83.99,82.34,0,12.59,78.03,94163,614,1511,891,3819,891,1511,84855
"Illinois Health Partners ACO, LLC",A2302,2019,IL,2.6,,3016,2714,29,251,48,179,708,523,275,257,1,12,539,192,10009,3811,4852,27439145,0.46,58,92.17,87.15,95.04,93.51,83.68,64.02,67.57,76.1,24.64,92.38,88.4,14.63,60.02,2.0,93.6,80.43,92.31,86.98,78.44,81.31,85.33,5.77,10,78.76,100051,,3258,950,4209,950,3258,89891
Bayview Physicians Group,A2308,2020,"VA, NC",1.1400000000000001,,2199,2117,20,55,18,99,316,382,230,223,0,2,555,188,9092,3453,4259,2075776,0.48,33,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.82,93.51,70.08,82.05,87.52,76.62,74.31,83.31,2.78,12.32,73.9,21413,163,400,58,760,58,400,15720
Bayview Physicians Group,A2308,2021,"VA, NC",1.34,50.00%,"2,083","2,001",25,51,18,98,336,377,211,205,1,3,566,178,"9,515","3,435","4,414","2,374,201",50.00%,35,83.59,,,,,,,,,,,,,,,70.61,81.82,17.19,70.98,71.71,84.65,0,9.18,73.84,"20,212",168,430,61,767,61,430,"14,914"
Bayview Physicians Group,A2308,2018,"VA, NC",1.6605193,,2659,2564,29,50,24,260,537,518,289,280,1,3,733,223,10180,3756,4945,3256614,0.4634,60,92.67999999999999,85.29,94.85,93.91,79.2,64.11,65.15,70.26,23.06,,,15.27,60.0,1.73,98.54,74.78,95.65,90.86,82.14,80.1,82.48,4.55,11.74,71.35,19946,151,295,43,641,43,295,14611
Bayview Physicians Group,A2308,2019,"VA, NC",2.33,,2763,2670,55,40,18,272,532,487,296,288,2,2,727,233,10454,3806,5074,4805673,0.48,60,95.47,83.85,93.8,92.32,80.29,66.36,66.43,73.34,26.62,91.3,87.08,15.02,61.32,1.65,99.19,73.71,87.76,95.44,81.7,80.33,86.38,17.86,9.45,75.66,20102,,4210,41,677,41,4210,14856
"Seton Accountable Care Organization, Inc.",A2309,2021,TX,7.41,50.00%,"2,429","1,775",54,586,23,89,185,517,199,166,2,27,460,124,"9,324","3,000","4,981","16,654,761",50.00%,15,95.14,,,,,,,,,,,,,,,81.25,81.58,79.04,78.71,77.23,87.47,22,8.71,82.54,"24,244",362,540,949,"1,243",949,540,"20,201"
"Seton Accountable Care Organization, Inc.",A2309,2018,TX,5.220345099999999,,2724,2069,86,546,53,87,295,680,240,202,3,28,553,148,9440,3215,5006,10167307,0.4476,23,89.53,83.23,94.42,93.13,82.13,59.06,60.4,73.93,23.85,,,15.27,52.66,1.76,89.69,77.57,81.08,72.15,75.61,83.81,86.51,7.14,12.08,81.88,20673,335,426,733,870,733,426,17398
"Seton Accountable Care Organization, Inc.",A2309,2019,TX,8.49,,2641,1978,62,568,53,91,246,606,235,198,2,28,548,146,9571,3131,4955,19335022,0.47,21,93.31,83.83,93.37,91.73,82.39,58.38,58.08,73.38,21.28,94.38,85.87,14.31,49.29,1.52,86.64,78.22,93.33,74.38,76.22,75.87,87.67,13.24,11.13,82.75,23460,,1398,937,1047,937,1398,19592
"Seton Accountable Care Organization, Inc.",A2309,2020,TX,8.81,,2410,1764,74,568,32,101,174,504,202,169,2,26,426,126,8828,2983,4629,18207131,0.48,15,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.65,83.39,81.9,88.37,68.86,77.55,74.58,87.29,7.32,12.96,78.36,23810,366,496,939,1126,939,496,19853
JFK Health ACO,A2311,2021,NJ,1.98,40.00%,"3,598","3,171",49,380,46,255,"1,334",380,289,269,2,16,506,239,"12,778","4,800","6,549",0,40.00%,80,88.85,,,,,,,,,,,,,,,81.92,90.91,60.89,65.64,72.06,89.56,20,9.43,80.38,"12,268",93,"1,485",187,"1,093",187,"1,485","8,614"
JFK Health ACO,A2311,2019,NJ,4.92,,3808,3233,131,436,72,164,1232,314,290,266,3,17,575,230,12490,4866,6644,7437509,0.49,74,98.47,87.78,94.77,93.5,86.31,60.09,63.12,75.88,27.57,92.75,88.13,15.12,57.21,1.67,68.27,79.94,84.38,44.94,66.01,72.22,89.01,9.52,12.65,80.32,12055,,1006,221,1063,221,1006,8047
JFK Health ACO,A2311,2020,NJ,4.03,,3499,2993,94,422,59,217,1266,354,286,261,2,18,468,232,11434,4469,5800,6134889,0.39,75,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.9,74.86,71.49,93.33,44.61,62.28,62.56,89.49,0,12.68,80.68,13383,99,1562,216,1104,216,1562,9480
JFK Health ACO,A2311,2018,NJ,6.1020748,,3506,2997,123,372,66,182,1145,298,281,256,2,17,577,223,11846,4484,6774,10041849,0.4302,77,86.04,86.93,94.77,93.61,85.32,59.23,65.51,73.79,25.03,,,15.23,56.62,1.7,60.74,75.35,77.27,50,61.13,72.05,83.01,0,16.91,81.2,13589,91,1668,235,1047,235,1668,9403
UPSA ACO LLC,A2321,2019,TX,5.56,,2366,1870,77,368,17,219,304,531,228,200,3,21,481,136,11965,5722,5496,2994623,0.49,29,97.16,85.67,93.91,92.33,82.94,66.08,65.67,74.48,29.29,92.43,87.97,14.58,43.49,1.51,92.28,78.13,77.27,71.6,77.42,73.1,85.11,5,13.55,80.27,5727,,273,201,174,201,273,5037
UPSA ACO LLC,A2321,2018,TX,4.767743599999999,,2394,1883,39,424,25,180,346,589,249,216,2,26,477,143,11057,4873,5558,4608538,0.4718,32,94.35,87.24,93.94,93.82,83.21,63.41,59.99,74.28,23.39,,,15.08,46.23,1.34,84.34,76.81,73.68,63.4,85.44,64.53,85.59,5.66,12.61,79.54,10436,52,76,286,310,286,76,9385
USMD Physician Services,A2336,2019,TX,9.139999999999999,,2499,1901,56,408,24,143,417,629,229,194,2,21,519,151,10118,3764,5037,16070231,0.49,33,97.06,82.42,94,91.24,79.04,68.98,66.85,76.07,25.35,91.25,88.51,14.1,48.79,1.81,82.47,79.05,76.67,77.48,77.45,78.91,90.32,16.13,7.83,88.1,17542,,785,112,544,112,785,15792
USMD Physician Services,A2336,2018,TX,6.5555084,,2634,2008,105,439,21,130,459,690,251,214,3,23,541,168,10166,3855,5080,11704795,0.4803,36,96.06,85.95,95.33,93.38,82.88,64.92,73.23,73.75,25.72,,,14.86,52.64,1.99,84.04,74.49,40.63,78.02,78.77,77.46,91.94,5.19,8.69,89.2,17928,104,264,125,517,125,264,16143
"Ingalls Care Network, LLC",A2337,2019,"IL, IN",1.03,,4349,3483,84,792,52,126,753,629,393,349,2,35,761,244,9583,3771,4842,0,0.46,56,92.17,89.63,94.23,93.22,84.4,60.67,63.9,73.52,28.77,91.17,85.17,15.43,72.28,1.8,91.53,54.88,92.59,73.2,55.24,70.16,78.78,4,16.94,70.97,6916,,2492,56,139,56,2492,4179
Ingalls Care Network LLC,A2337,2021,"IL, IN",2.00,40.00%,"4,101","3,338",54,721,51,234,777,671,359,322,2,31,708,258,"10,037","3,376","5,191",0,40.00%,55,75.56,,,,,,,,,,,,,,,56.61,72.73,61.04,51.21,68.15,79.84,0,25,71.37,"5,796",47,38,56,124,56,38,"3,677"
